[roll1:1511]  [pitch1:102]  [yaw1:1916]  [Ax1:9.643] [Ay1:-0.684] [Az1:1.579] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1522]  [pitch1:99]  [yaw1:1914]  [Ax1:9.528] [Ay1:-0.345] [Az1:1.326] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1536]  [pitch1:96]  [yaw1:1907]  [Ax1:6.025] [Ay1:-0.057] [Az1:0.105] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1553]  [pitch1:91]  [yaw1:1894]  [Ax1:11.955] [Ay1:1.120] [Az1:-0.139] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1582]  [pitch1:90]  [yaw1:1868]  [Ax1:14.750] [Ay1:1.575] [Az1:3.340] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1601]  [pitch1:95]  [yaw1:1850]  [Ax1:12.893] [Ay1:-0.665] [Az1:6.580] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1567]  [pitch1:86]  [yaw1:1884]  [Ax1:2.843] [Ay1:-1.881] [Az1:-5.939] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1591]  [pitch1:88]  [yaw1:1859]  [Ax1:15.070] [Ay1:1.493] [Az1:4.269] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1583]  [pitch1:90]  [yaw1:1868]  [Ax1:8.040] [Ay1:-1.804] [Az1:2.723] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1586]  [pitch1:91]  [yaw1:1863]  [Ax1:15.535] [Ay1:0.230] [Az1:8.523] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1586]  [pitch1:91]  [yaw1:1863]  [Ax1:15.535] [Ay1:0.230] [Az1:8.523] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1541]  [pitch1:84]  [yaw1:1906]  [Ax1:2.900] [Ay1:-2.168] [Az1:-5.336] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1549]  [pitch1:88]  [yaw1:1895]  [Ax1:6.217] [Ay1:-2.369] [Az1:0.890] [        ][?][        ]
[roll2:7931728]  [pitch2:0]  [yaw2:1161556066]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1549]  [pitch1:88]  [yaw1:1895]  [Ax1:6.217] [Ay1:-2.369] [Az1:0.890] [        ][?][        ]
