[roll1:0]  [pitch1:0]  [yaw1:0]  [Ax1:0.000] [Ay1:0.000] [Az1:0.000] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1931]  [pitch1:49]  [yaw1:3079]  [Ax1:9.438] [Ay1:0.354] [Az1:0.861] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1900]  [pitch1:46]  [yaw1:3114]  [Ax1:1.991] [Ay1:-0.302] [Az1:-5.532] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1900]  [pitch1:46]  [yaw1:3114]  [Ax1:1.991] [Ay1:-0.302] [Az1:-5.532] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1917]  [pitch1:35]  [yaw1:3100]  [Ax1:5.394] [Ay1:-0.158] [Az1:-6.853] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1952]  [pitch1:50]  [yaw1:3071]  [Ax1:8.710] [Ay1:0.258] [Az1:6.025] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1952]  [pitch1:50]  [yaw1:3071]  [Ax1:8.710] [Ay1:0.258] [Az1:6.025] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2012]  [pitch1:37]  [yaw1:3015]  [Ax1:6.083] [Ay1:-0.086] [Az1:-8.212] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2014]  [pitch1:48]  [yaw1:3014]  [Ax1:16.181] [Ay1:2.972] [Az1:7.987] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2033]  [pitch1:41]  [yaw1:2998]  [Ax1:12.912] [Ay1:1.464] [Az1:-2.350] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2033]  [pitch1:41]  [yaw1:2998]  [Ax1:12.912] [Ay1:1.464] [Az1:-2.350] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:2013]  [pitch1:40]  [yaw1:3022]  [Ax1:5.829] [Ay1:-0.689] [Az1:-8.418] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1988]  [pitch1:51]  [yaw1:3047]  [Ax1:15.439] [Ay1:2.417] [Az1:9.260] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1988]  [pitch1:51]  [yaw1:3047]  [Ax1:15.439] [Ay1:2.417] [Az1:9.260] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1969]  [pitch1:44]  [yaw1:3066]  [Ax1:3.565] [Ay1:-0.704] [Az1:-4.613] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1846]  [pitch1:53]  [yaw1:3189]  [Ax1:7.959] [Ay1:-0.292] [Az1:4.685] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1769]  [pitch1:45]  [yaw1:3269]  [Ax1:9.567] [Ay1:1.039] [Az1:-7.370] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1769]  [pitch1:45]  [yaw1:3269]  [Ax1:9.567] [Ay1:1.039] [Az1:-7.370] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1608]  [pitch1:82]  [yaw1:3420]  [Ax1:5.551] [Ay1:-2.249] [Az1:-4.781] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1550]  [pitch1:112]  [yaw1:3470]  [Ax1:17.114] [Ay1:1.110] [Az1:6.083] [        ][?][        ]
[roll2:8062800]  [pitch2:0]  [yaw2:-969652735]  [Ax2:0.000] [Ay2:0.000] [Az2:0.000] [        ][?][        ]
[roll1:1550]  [pitch1:112]  [yaw1:3470]  [Ax1:17.114] [Ay1:1.110] [Az1:6.083] [        ][?][        ]
